compound,szafa,Stack voltage,Cell current,Stack power,Air,CO2,N2,N2.1,H2,CO2.1,H2O,CH3OH
"H2, 605C",,2.67,0.0,0.0,4.0,1.5,0.0,1.0,1.0,0.0,,
"H2, 605C",2.46,2.46,5.0,12.3,4.0,1.5,0.0,1.0,1.0,0.0,,
"H2, 605C",2.23,2.31,10.0,23.1,4.0,1.5,0.0,1.0,1.0,0.0,,
"H2, 605C",2.24,1.19,15.0,17.849999999999998,4.0,1.5,0.0,1.0,1.0,0.0,,
"H2, 605C",2.17,2.08,20.0,41.6,4.0,1.5,0.0,1.0,1.0,0.0,,
"H2, 605C",2.09,1.96,25.0,49.0,4.0,1.5,0.0,1.0,1.0,0.0,,
"H2, 605C",2,1.84,30.0,55.2,4.0,1.5,0.0,1.0,1.0,0.0,,
"H2, 605C",1.92,1.72,35.0,60.199999999999996,4.0,1.5,0.0,1.0,1.0,0.0,,
"H2, 605C",1.84,1.6,40.0,64.0,4.0,1.5,0.0,1.0,1.0,0.0,,
"H2, 605C",1.77,1.48,45.0,66.6,4.0,1.5,0.0,1.0,1.0,0.0,,
"H2, 605C",1.68,1.36,50.0,68.0,4.0,1.5,0.0,1.0,1.0,0.0,,
"H2, 605C",1.58,1.23,55.0,67.65,4.0,1.5,0.0,1.0,1.0,0.0,,
"H2, 605C",1.46,1.07,60.0,64.2,4.0,1.5,0.0,1.0,1.0,0.0,,
"H2, 605C",2.63,2.67,0.0,0.0,7.0,1.25,0.0,1.0,1.0,0.0,,
"H2, 605C",2.5,2.5,5.0,12.5,7.0,1.25,0.0,1.0,1.0,0.0,,
"H2, 605C",2.36,2.33,10.0,23.3,7.0,1.25,0.0,1.0,1.0,0.0,,
"H2, 605C",2.24,2.19,15.0,32.85,7.0,1.25,0.0,1.0,1.0,0.0,,
"H2, 605C",2.16,2.07,20.0,41.4,7.0,1.25,0.0,1.0,1.0,0.0,,
"H2, 605C",2.08,1.96,25.0,49.0,7.0,1.25,0.0,1.0,1.0,0.0,,
"H2, 605C",2,1.84,30.0,55.2,7.0,1.25,0.0,1.0,1.0,0.0,,
"H2, 605C",1.93,1.73,35.0,60.55,7.0,1.25,0.0,1.0,1.0,0.0,,
"H2, 605C",1.86,1.62,40.0,64.80000000000001,7.0,1.25,0.0,1.0,1.0,0.0,,
"H2, 605C",1.79,1.52,45.0,68.4,7.0,1.25,0.0,1.0,1.0,0.0,,
"H2, 605C",1.7,1.4,50.0,70.0,7.0,1.25,0.0,1.0,1.0,0.0,,
"H2, 605C",1.62,1.26,55.0,69.3,7.0,1.25,0.0,1.0,1.0,0.0,,
"H2, 605C",1.53,1.13,60.0,67.8,7.0,1.25,0.0,1.0,1.0,0.0,,
"H2, 605C",2.62,2.67,0.0,0.0,11.0,1.25,0.0,1.0,1.0,0.0,,
"H2, 605C",2.48,2.48,5.0,12.4,11.0,1.25,0.0,1.0,1.0,0.0,,
"H2, 605C",2.32,2.3,10.0,23.0,11.0,1.25,0.0,1.0,1.0,0.0,,
"H2, 605C",2.21,2.15,15.0,32.25,11.0,1.25,0.0,1.0,1.0,0.0,,
"H2, 605C",2.12,2.02,20.0,40.4,11.0,1.25,0.0,1.0,1.0,0.0,,
"H2, 605C",2.05,1.91,25.0,47.75,11.0,1.25,0.0,1.0,1.0,0.0,,
"H2, 605C",1.96,1.79,30.0,53.7,11.0,1.25,0.0,1.0,1.0,0.0,,
"H2, 605C",1.89,1.67,35.0,58.449999999999996,11.0,1.25,0.0,1.0,1.0,0.0,,
"H2, 605C",1.8,1.55,40.0,62.0,11.0,1.25,0.0,1.0,1.0,0.0,,
"H2, 605C",1.71,1.42,45.0,63.9,11.0,1.25,0.0,1.0,1.0,0.0,,
"H2, 605C",1.61,1.28,50.0,64.0,11.0,1.25,0.0,1.0,1.0,0.0,,
"H2, 605C",1.51,1.14,55.0,62.699999999999996,11.0,1.25,0.0,1.0,1.0,0.0,,
"H2, 605C",1.41,0.99,59.0,58.41,11.0,1.25,0.0,1.0,1.0,0.0,,
"H2, 605C",2.59,2.64,0.0,0.0,23.0,1.25,0.0,1.0,1.0,0.0,,
"H2, 605C",2.44,2.45,5.0,12.25,23.0,1.25,0.0,1.0,1.0,0.0,,
"H2, 605C",2.28,2.27,10.0,22.7,23.0,1.25,0.0,1.0,1.0,0.0,,
"H2, 605C",2.16,2.1,15.0,31.5,23.0,1.25,0.0,1.0,1.0,0.0,,
"H2, 605C",2.06,1.96,20.0,39.2,23.0,1.25,0.0,1.0,1.0,0.0,,
