compound,stack voltage,cell current,stack power,air,co2,n2,n2.1,h2,co2.1
"H2, 605C",2.67,0.0,0.0,4.0,1.5,0.0,1.0,1.0,0.0
"H2, 605C",2.46,5.0,12.3,4.0,1.5,0.0,1.0,1.0,0.0
"H2, 605C",2.31,10.0,23.1,4.0,1.5,0.0,1.0,1.0,0.0
"H2, 605C",1.19,15.0,17.849999999999998,4.0,1.5,0.0,1.0,1.0,0.0
"H2, 605C",2.08,20.0,41.6,4.0,1.5,0.0,1.0,1.0,0.0
"H2, 605C",1.96,25.0,49.0,4.0,1.5,0.0,1.0,1.0,0.0
"H2, 605C",1.84,30.0,55.2,4.0,1.5,0.0,1.0,1.0,0.0
"H2, 605C",1.72,35.0,60.2,4.0,1.5,0.0,1.0,1.0,0.0
"H2, 605C",1.6,40.0,64.0,4.0,1.5,0.0,1.0,1.0,0.0
"H2, 605C",1.48,45.0,66.6,4.0,1.5,0.0,1.0,1.0,0.0
"H2, 605C",1.36,50.0,68.0,4.0,1.5,0.0,1.0,1.0,0.0
"H2, 605C",1.23,55.0,67.65,4.0,1.5,0.0,1.0,1.0,0.0
"H2, 605C",1.07,60.0,64.2,4.0,1.5,0.0,1.0,1.0,0.0
"H2, 605C",2.67,0.0,0.0,7.0,1.25,0.0,1.0,1.0,0.0
"H2, 605C",2.5,5.0,12.5,7.0,1.25,0.0,1.0,1.0,0.0
"H2, 605C",2.33,10.0,23.3,7.0,1.25,0.0,1.0,1.0,0.0
"H2, 605C",2.19,15.0,32.85,7.0,1.25,0.0,1.0,1.0,0.0
"H2, 605C",2.07,20.0,41.4,7.0,1.25,0.0,1.0,1.0,0.0
"H2, 605C",1.96,25.0,49.0,7.0,1.25,0.0,1.0,1.0,0.0
"H2, 605C",1.84,30.0,55.2,7.0,1.25,0.0,1.0,1.0,0.0
"H2, 605C",1.73,35.0,60.55,7.0,1.25,0.0,1.0,1.0,0.0
"H2, 605C",1.62,40.0,64.80000000000001,7.0,1.25,0.0,1.0,1.0,0.0
"H2, 605C",1.52,45.0,68.4,7.0,1.25,0.0,1.0,1.0,0.0
"H2, 605C",1.4,50.0,70.0,7.0,1.25,0.0,1.0,1.0,0.0
"H2, 605C",1.26,55.0,69.3,7.0,1.25,0.0,1.0,1.0,0.0
"H2, 605C",1.13,60.0,67.8,7.0,1.25,0.0,1.0,1.0,0.0
"H2, 605C",2.67,0.0,0.0,11.0,1.25,0.0,1.0,1.0,0.0
"H2, 605C",2.48,5.0,12.4,11.0,1.25,0.0,1.0,1.0,0.0
"H2, 605C",2.3,10.0,23.0,11.0,1.25,0.0,1.0,1.0,0.0
"H2, 605C",2.15,15.0,32.25,11.0,1.25,0.0,1.0,1.0,0.0
"H2, 605C",2.02,20.0,40.4,11.0,1.25,0.0,1.0,1.0,0.0
"H2, 605C",1.91,25.0,47.75,11.0,1.25,0.0,1.0,1.0,0.0
"H2, 605C",1.79,30.0,53.7,11.0,1.25,0.0,1.0,1.0,0.0
"H2, 605C",1.67,35.0,58.45,11.0,1.25,0.0,1.0,1.0,0.0
"H2, 605C",1.55,40.0,62.0,11.0,1.25,0.0,1.0,1.0,0.0
"H2, 605C",1.42,45.0,63.9,11.0,1.25,0.0,1.0,1.0,0.0
"H2, 605C",1.28,50.0,64.0,11.0,1.25,0.0,1.0,1.0,0.0
"H2, 605C",1.14,55.0,62.7,11.0,1.25,0.0,1.0,1.0,0.0
"H2, 605C",0.99,59.0,58.41,11.0,1.25,0.0,1.0,1.0,0.0
"H2, 605C",2.64,0.0,0.0,23.0,1.25,0.0,1.0,1.0,0.0
"H2, 605C",2.45,5.0,12.25,23.0,1.25,0.0,1.0,1.0,0.0
"H2, 605C",2.27,10.0,22.7,23.0,1.25,0.0,1.0,1.0,0.0
"H2, 605C",2.1,15.0,31.5,23.0,1.25,0.0,1.0,1.0,0.0
"H2, 605C",1.96,20.0,39.2,23.0,1.25,0.0,1.0,1.0,0.0
"H2, 605C",1.81,25.0,45.25,23.0,1.25,0.0,1.0,1.0,0.0
"H2, 605C",1.66,30.0,49.8,23.0,1.25,0.0,1.0,1.0,0.0
"H2, 605C",1.48,35.0,51.8,23.0,1.25,0.0,1.0,1.0,0.0
"H2, 605C",1.32,40.0,52.8,23.0,1.25,0.0,1.0,1.0,0.0
"H2, 605C",1.17,45.0,52.65,23.0,1.25,0.0,1.0,1.0,0.0
"H2, 605C",1.03,50.0,51.5,23.0,1.25,0.0,1.0,1.0,0.0
"H2, 605C",2.21,5.0,11.05,4.0,1.5,0.0,1.0,1.0,0.5
"H2, 605C",2.11,10.0,21.1,4.0,1.5,0.0,1.0,1.0,0.5
"H2, 605C",2.01,15.0,30.15,4.0,1.5,0.0,1.0,1.0,0.5
"H2, 605C",1.9,20.0,38.0,4.0,1.5,0.0,1.0,1.0,0.5
"H2, 605C",1.81,25.0,45.25,4.0,1.5,0.0,1.0,1.0,0.5
"H2, 605C",1.71,30.0,51.3,4.0,1.5,0.0,1.0,1.0,0.5
"H2, 605C",1.61,35.0,56.35,4.0,1.5,0.0,1.0,1.0,0.5
"H2, 605C",1.51,40.0,60.4,4.0,1.5,0.0,1.0,1.0,0.5
"H2, 605C",1.4,45.0,62.99999999999999,4.0,1.5,0.0,1.0,1.0,0.5
"H2, 605C",1.29,50.0,64.5,4.0,1.5,0.0,1.0,1.0,0.5
"H2, 605C",1.17,55.0,64.35,4.0,1.5,0.0,1.0,1.0,0.5
"H2, 605C",1.04,60.0,62.400000000000006,4.0,1.5,0.0,1.0,1.0,0.5
